"Invite by Email","Invite by Email"
"From","From"
"Enter your friends","Enter your friends"
"Or retrieve contacts from","Or retrieve contacts from"
"get contacts from gmail","get contacts from gmail"
"Gmail","Gmail"
"get contacts from yahoo","get contacts from yahoo"
"Yahoo","Yahoo"
"Subject","Subject"
"Send Email","Send Email"
"Invite friends from Social networks","Invite friends from Social networks"
"Invite friends from Google+","Invite friends from Google+"
"Invite friends from Facebook or Twitter","Invite friends from Facebook or Twitter"
"Post on Facebook","Post on Facebook"
"Tweet","Tweet"
"Tweet on Twitter","Tweet on Twitter"
"My Lucky Draw Code","My Lucky Draw Code"
"Login to Program","Login to Program"
"Register Program","Register Program"
"Registered for email","Registered for email"
"Email address:","Email address:"
"If you have an account, please log in to the system","If you have an account, please log in to the system"
"Email","Email"
"I read an agree to","I read an agree to"
"Terms and Conditions","Terms and Conditions"
"Register for the program","Register for the program"
"Verification","Verification"
"Getting new captcha","Getting new captcha"
"Refresh","Refresh"
"Captcha code","Captcha code"
"Submit","Submit"
"Loading","Loading"
"Lucky draw is not available at this time!","Lucky draw is not available at this time!"
"Please wait! We are drawing to find the winner!","Please wait! We are drawing to find the winner!"
"Congratulation! You","Congratulation! You"
"Prize code","Prize code"
"Not enough participants to play lucky draw","Not enough participants to play lucky draw"
"Joined","Joined"
"Click on Refer button to refer your friends and earn more draw codes","Click on Refer button to refer your friends and earn more draw codes"
"Refer","Refer"
"Click on Start button to receive your lucky draw code","Click on Start button to receive your lucky draw code"
"Start","Start"
"Lucky draw is not available at this time, click to view our terms and conditions","Lucky draw is not available at this time, click to view our terms and conditions"
"Play is not available at this time, click to view our terms and conditions","Play is not available at this time, click to view our terms and conditions"
"Please log in to view more details","Please log in to view more details"
"Click on this button to view your draw codes","Click on this button to view your draw codes"
"My draw codes","My draw codes"
"Each failed code can be redeemed for %s when you purchase product on our site!","Each failed code can be redeemed for %s when you purchase product on our site!"
"Refer friends to earn more draw codes","Refer friends to earn more draw codes"
